run_name,loss_fn,ckpt_pt,epoch,val_loss,val_accuracy,weight_decay,learning_rate,wandb_path
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=1-val_loss=0.8954-val_accuracy=0.9188.ckpt,1,0.8954148888587952,0.9187679886817932,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=3-val_loss=0.8369-val_accuracy=0.9242.ckpt,3,0.8368752002716064,0.9242159724235535,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=5-val_loss=0.8147-val_accuracy=0.9279.ckpt,5,0.8146759271621704,0.9278720021247864,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=7-val_loss=0.7980-val_accuracy=0.9257.ckpt,7,0.7980046272277832,0.9257320165634155,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=9-val_loss=0.7846-val_accuracy=0.9260.ckpt,9,0.7845554351806641,0.9259920120239258,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=11-val_loss=0.7775-val_accuracy=0.9293.ckpt,11,0.7775180339813232,0.9293000102043152,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=13-val_loss=0.7686-val_accuracy=0.9324.ckpt,13,0.7685566544532776,0.9323880076408386,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=15-val_loss=0.7656-val_accuracy=0.9312.ckpt,15,0.7656490206718445,0.9312360286712646,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=17-val_loss=0.7608-val_accuracy=0.9296.ckpt,17,0.7607532143592834,0.9295939803123474,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=19-val_loss=0.7560-val_accuracy=0.9229.ckpt,19,0.755952775478363,0.9228519797325134,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=21-val_loss=0.7545-val_accuracy=0.9249.ckpt,21,0.7544888854026794,0.9248620271682739,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_0568,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_0568/epoch=23-val_loss=0.7520-val_accuracy=0.9318.ckpt,23,0.7519901990890503,0.9317560195922852,0.0,0.0001,https://wandb.ai/rajesh-lab/symile/runs/7kt5ce2v
20240420_234318_5598,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_5598/epoch=1-val_loss=0.8884-val_accuracy=0.9235.ckpt,1,0.8884104490280151,0.9235339760780334,0.0,5e-05,https://wandb.ai/rajesh-lab/symile/runs/n3mcx2pn
20240420_234318_5598,symile,/gpfs/scratch/as16583/ckpts/high_dim/20240420_234318_5598/epoch=3-val_loss=0.8325-val_accuracy=0.9259.ckpt,3,0.8325415849685669,0.9259020090103149,0.0,5e-05,https://wandb.ai/rajesh-lab/symile/runs/n3mcx2pn
